gpsTime,lat,lon,altitude,speed,bearing,accuracy
1530997640000,40.7784043,-102.36827473,1152.90002441406,3,77.5,3
1530997641000,40.77841463,-102.36824738,1153.19995117188,3,65.9,3
1530997642000,40.77843282,-102.3682256,1152.69995117188,3,49.9,3
1530997643000,40.77845567,-102.3682098,1152.59997558594,3,36.1,3
1530997644000,40.77848057,-102.36820073,1152.09997558594,3,24.8,3
1530997645000,40.77850712,-102.36819707,1152.69995117188,2.75,16.1,3
1530997646000,40.77853257,-102.36819719,1152.30004882812,2.75,10.2,3
1530997647000,40.77855761,-102.36819934,1152.80004882812,2.75,6.7,3
1530997648000,40.77858038,-102.36820248,1152.69995117188,2.75,5.8,3
1530997649000,40.77860397,-102.36820272,1153.5,2.75,6.3,3
1530997650000,40.77862818,-102.36820157,1152.90002441406,2.75,6.9,3
1530997651000,40.77865271,-102.36820023,1153,2.75,6.6,3
1530997652000,40.77867799,-102.36819872,1153.69995117188,2.75,5.3,3
1530997653000,40.77870225,-102.36819891,1153,2.75,3.3,3
1530997654000,40.77872686,-102.36819952,1153.19995117188,2.75,2.8,3
1530997655000,40.77875132,-102.36820029,1153,2.75,2.4,3
1530997674000,40.77938704,-102.3682138,1154.40002441406,4,1,3
1530997675000,40.77942422,-102.36821414,1155,4,0.7,3
1530997676000,40.77946174,-102.36821385,1155,4,1.5,3
1530997677000,40.7794986,-102.36821297,1154.19995117188,4,1.5,3
1530997678000,40.77953455,-102.36821171,1154.30004882812,4,1.6,3
1530997679000,40.77957107,-102.36821056,1154.90002441406,4,0.9,3
1530997680000,40.77960813,-102.36820933,1155.09997558594,4,0.6,3
1530997681000,40.77964542,-102.36820833,1155.30004882812,4,0,3
1530997682000,40.779682,-102.36820668,1155.5,4,0.6,3
1530997683000,40.77971843,-102.36820562,1155.19995117188,4,0.8,3
1530997684000,40.77975414,-102.36820324,1154.90002441406,4,1.8,3
1530997685000,40.77979013,-102.36820054,1155.30004882812,4,1,3
1530997686000,40.77982728,-102.36819808,1156,4,1.4,3
1530997687000,40.77986459,-102.36819551,1156.5,4,0.5,3
1530997688000,40.77990165,-102.36819294,1156.69995117188,4,0.7,3
