gpsTime,lat,lon,altitude,x,y,speed
1531614396000,40.77449861,-102.05146221,1072.40002441406,748836.111105086,4517908.29638158,1.75
1531614397000,40.7745069,-102.0514817,1072.80004882812,748834.435107558,4517909.16145852,1.75
1531614398000,40.77451211,-102.05150274,1072.69995117188,748832.639787127,4517909.68017198,1.75
1531614399000,40.77451333,-102.05152435,1073.19995117188,748830.811258194,4517909.7542699,1.5
1531614400000,40.77451,-102.05154427,1073.30004882812,748829.142365132,4517909.32799373,1.75
1531614401000,40.77450354,-102.05156272,1073,748827.609235469,4517908.55837705,1.5
1531614402000,40.77449656,-102.05157961,1072.40002441406,748826.209717947,4517907.73545574,1.5
1531614403000,40.77449079,-102.05159583,1072,748824.862231986,4517907.04877954,1.5
1531614404000,40.77448701,-102.05161154,1072.40002441406,748823.550360018,4517906.58449521,1.5
1531614405000,40.7744837,-102.05162773,1072.30004882812,748822.19621866,4517906.17103104,1.5
1531614406000,40.77448154,-102.05164446,1072.59997558594,748820.792204179,4517905.88371505,1.5
1531614407000,40.7744788,-102.05166038,1072.59997558594,748819.458723001,4517905.53430332,1.5
1531614408000,40.77447598,-102.05167747,1073.19995117188,748818.026787628,4517905.172688,1.5
1531614409000,40.77447349,-102.05169512,1072.5,748816.546353428,4517904.84612201,1.5
1531614410000,40.77447654,-102.0517007,1072.90002441406,748816.06398808,4517905.16891257,0
1531614411000,40.77447898,-102.05170138,1073,748815.997481093,4517905.43788785,0
1531614412000,40.77448091,-102.0517018,1073.19995117188,748815.954823777,4517905.65097752,0
1531614413000,40.77448164,-102.05170102,1073.09997558594,748816.017932821,4517905.73424163,0
1531614414000,40.77448201,-102.05170045,1073,748816.064661414,4517905.77693985,0
1531614415000,40.77448215,-102.05170078,1073.09997558594,748816.036285219,4517905.79154675,0
1531614416000,40.77448268,-102.05170077,1073.30004882812,748816.035149977,4517905.85041944,0
1531614417000,40.77448357,-102.0517008,1073.59997558594,748816.029294149,4517905.94914827,0
1531614418000,40.77448417,-102.05170072,1073.90002441406,748816.033805782,4517906.01599158,0
1531614419000,40.77448531,-102.05170055,1074,748816.043897156,4517906.14304495,0
1531614420000,40.77448621,-102.05170033,1074.09997558594,748816.059105017,4517906.24359381,0
1531614421000,40.77448668,-102.05170019,1074.09997558594,748816.06916638,4517906.29617395,0
1531614422000,40.77448695,-102.05170017,1074.09997558594,748816.069846149,4517906.32620801,0
1531614423000,40.77448708,-102.05170024,1074.09997558594,748816.063452375,4517906.34044279,0
1531614424000,40.77448713,-102.05170029,1074.09997558594,748816.059045443,4517906.34585218,0
1531614425000,40.77448718,-102.05170034,1074.09997558594,748816.054638512,4517906.35126158,0
1531614426000,40.77448696,-102.05170175,1074.19995117188,748815.936450281,4517906.32283264,0.25
1531614427000,40.77448676,-102.05170646,1075,748815.539653734,4517906.28725551,0.25
1531614428000,40.77448687,-102.05171226,1075.40002441406,748815.049698995,4517906.28300225,0.5
1531614429000,40.77448887,-102.05171858,1075.80004882812,748814.508795954,4517906.48711371,0
1531614430000,40.77448871,-102.05172361,1075.80004882812,748814.084840716,4517906.45506926,0.5
1531614431000,40.77448618,-102.05173528,1076.59997558594,748813.109292736,4517906.14104006,1
1531614432000,40.77448213,-102.0517479,1077,748812.059237103,4517905.65555299,1
1531614433000,40.77447756,-102.05176195,1076.30004882812,748810.890425319,4517905.10827233,1
1531614434000,40.77447131,-102.0517756,1076.59997558594,748809.761648826,4517904.37560214,1
1531614435000,40.77446466,-102.05178813,1077.30004882812,748808.728898522,4517903.60170094,1
1531614436000,40.77445807,-102.05179974,1077.59997558594,748807.773575775,4517902.83707332,1
1531614437000,40.77445174,-102.05181009,1077.59997558594,748806.923631156,4517902.10488986,1
1531614438000,40.77444591,-102.05181989,1077.59997558594,748806.118241497,4517901.42978139,1
1531614439000,40.77444078,-102.05183045,1077.80004882812,748805.246090478,4517900.83023434,1
1531614440000,40.77443697,-102.05184186,1077.30004882812,748804.297266463,4517900.37482995,1
1531614441000,40.77443392,-102.05185489,1077.80004882812,748803.208869473,4517899.99920722,1
1531614442000,40.77443112,-102.05186978,1078.19995117188,748801.962547007,4517899.64606114,1
1531614443000,40.77443005,-102.05188466,1078,748800.71060821,4517899.48502031,1
1531614444000,40.77442886,-102.05189848,1077.59997558594,748799.548585934,4517899.31366561,1.25
1531614445000,40.77442716,-102.05191204,1078,748798.410413167,4517899.08642544,1.25
1531614446000,40.77442502,-102.05192687,1078.19995117188,748797.166690056,4517898.80672831,1.25
1531614447000,40.77442478,-102.05194233,1077.69995117188,748795.86269726,4517898.73619419,1.25
1531614448000,40.77442424,-102.05195849,1077.5,748794.500741764,4517898.63036508,1.25
1531614449000,40.7744237,-102.05197487,1077.5,748793.120217325,4517898.5239117,1.25
1531614450000,40.77442283,-102.05199225,1077.40002441406,748791.65652092,4517898.37798095,1.25
1531614451000,40.77442261,-102.05200984,1077.09997558594,748790.172672431,4517898.30362189,1.25
1531614452000,40.77442181,-102.05202877,1077.09997558594,748788.577888062,4517898.16106364,1.25
1531614453000,40.77442147,-102.05204745,1076.59997558594,748787.002487047,4517898.0702878,1.25
1531614454000,40.77442103,-102.05206686,1076.80004882812,748785.365844351,4517897.96633739,1.25
1531614455000,40.77442151,-102.05208613,1076.19995117188,748783.737582942,4517897.96492955,1.25
1531614456000,40.77442248,-102.0521055,1075.69995117188,748782.099051494,4517898.01764142,1.25
1531614457000,40.77442323,-102.05212521,1075.69995117188,748780.432644135,4517898.0449626,1.25
1531614458000,40.77442393,-102.05214494,1075.69995117188,748778.764735431,4517898.06667603,1.25
1531614459000,40.77442516,-102.05216523,1076.09997558594,748777.047581444,4517898.14564453,1.25
1531614460000,40.77442631,-102.05218513,1076.19995117188,748775.363643874,4517898.2168383,1.25
1531614461000,40.77442681,-102.05220488,1076.30004882812,748773.694793999,4517898.21629071,1.25
1531614462000,40.77442687,-102.05222429,1075.80004882812,748772.056284467,4517898.16785672,1.5
1531614463000,40.77442694,-102.05224382,1075.69995117188,748770.407609101,4517898.12019275,1.5
1531614464000,40.77442767,-102.05226295,1075.90002441406,748768.790231126,4517898.14694233,1.5
1531614465000,40.77442735,-102.05228127,1075.69995117188,748767.245141035,4517898.0594131,1.5
1531614466000,40.77442725,-102.05229887,1075.40002441406,748765.760000532,4517897.99835379,1.5
1531614467000,40.77442621,-102.05231652,1075.5,748764.274149508,4517897.83278752,1.5
1531614468000,40.77442399,-102.05233376,1075.5,748762.827309918,4517897.53737349,1.5
1531614469000,40.77442026,-102.05234961,1075.5,748761.503429916,4517897.07825438,1.5
1531614470000,40.77441626,-102.05236299,1075.5,748760.38903625,4517896.59616902,1.25
1531614471000,40.77441822,-102.0523631,1075.59997558594,748760.372433831,4517896.81346964,0
1531614472000,40.77441923,-102.05236173,1075.40002441406,748760.484296605,4517896.92949544,0
1531614473000,40.77441898,-102.05236,1075.5,748760.631249298,4517896.90664909,0
1531614474000,40.77441877,-102.05235857,1075.90002441406,748760.752731382,4517896.88739231,0
1531614475000,40.7744178,-102.05235937,1075.80004882812,748760.688829662,4517896.77742546,0.25
1531614476000,40.77441555,-102.05236106,1075.69995117188,748760.554587273,4517896.52281794,0
1531614477000,40.77441575,-102.0523618,1075.69995117188,748760.491381424,4517896.54292294,0
1531614478000,40.7744149,-102.05236176,1075.59997558594,748760.497931199,4517896.44866355,0
1531614479000,40.77441419,-102.05236101,1075.90002441406,748760.563885252,4517896.37196319,0
